frame,good_matches,inliers
700,906,575
701,1143,743
702,1129,775
703,1027,716
704,818,508
705,788,458
706,1094,723
707,1289,962
708,1417,1056
709,1214,846
710,1178,768
711,1562,1210
712,1537,1194
713,1387,959
714,1292,888
715,1061,622
716,1438,1001
717,363,189
718,2028,1568
719,2399,2019
720,2150,1753
721,2488,2037
722,2441,1978
723,1892,1528
724,2166,1780
725,2512,2099
726,2187,1712
727,2424,2070
728,2301,1810
729,2047,1699
730,2278,1902
731,2238,1788
732,2232,1855
733,2319,1882
734,2277,1888
735,2255,1843
736,2310,1923
737,2177,1829
738,2373,2037
739,2042,1584
740,2239,1829
741,1996,1565
742,2373,2032
743,2037,1523
744,2097,1599
745,2193,1819
746,522,329
747,1476,1153
748,1334,998
749,1456,1068
750,1389,1025
751,1446,998
752,1417,1028
753,1254,868
754,1362,969
755,1594,1206
756,1304,910
757,1296,935
758,1435,1070
759,1334,932
760,1613,1136
761,1429,1055
762,1560,1164
763,1534,1094
764,1564,1160
765,1220,890
766,1521,1094
767,1398,1016
768,1694,1222
769,1651,1272
770,1709,1275
771,1468,1133
772,1288,891
773,1600,1170
774,1618,1230
775,1485,1121
776,1562,1181
777,1530,1069
778,1480,1025
779,1386,1021
780,1416,1031
781,1395,1045
782,1520,1186
783,1462,1021
784,1413,1077
785,1623,1314
786,1483,1147
787,1422,1053
788,1612,1278
789,1491,1078
790,1696,1299
791,1614,1241
792,694,427
793,1704,1298
794,2079,1608
795,2502,2118
796,2615,2401
797,2347,1979
798,2398,2022
799,2262,1923
800,2483,2104
801,2589,2243
802,2384,2008
803,2345,2012
804,1753,1229
805,881,564
806,1155,853
807,1340,980
808,1484,1130
809,1164,825
810,1340,988
811,1343,929
812,1313,908
813,1255,903
814,1225,940
815,823,492
816,937,679
817,932,644
818,832,524
819,979,703
820,1180,904
821,1124,813
822,1135,857
823,1226,915
824,1166,879
825,987,617
826,1154,799
827,1114,815
828,879,603
829,1237,972
830,1229,935
831,1184,902
832,1400,1021
833,1359,1016
834,1441,1138
835,1503,1133
836,1372,960
837,1129,788
838,780,499
839,826,492
840,875,581
841,896,564
842,261,88
843,1259,866
844,1560,1210
845,1450,1110
846,1491,1038
847,1747,1307
848,1799,1358
849,1131,730
850,984,597
851,979,630
852,1209,796
853,1240,828
854,1258,932
855,1225,776
856,1104,742
857,1228,865
858,1309,877
859,1321,882
860,1373,1004
861,1416,942
862,1304,896
863,1322,872
864,1154,720
865,1271,838
866,1151,717
867,898,519
868,1135,708
869,1403,1034
870,1457,980
871,1434,1012
872,1464,1011
873,905,544
874,614,314
875,786,498
876,598,296
877,1002,699
878,973,592
879,1012,672
880,973,701
881,854,553
882,920,544
883,307,158
884,1333,951
885,1599,1201
886,1710,1301
887,2118,1680
888,2124,1764
889,2068,1560
890,2096,1704
891,1868,1447
892,2210,1774
893,2418,2054
894,2409,2113
895,2198,1845
896,2370,2069
897,1912,1567
898,2323,1777
899,2362,1935
900,1884,1388
901,2275,1933
902,2003,1470
903,2332,1977
904,2269,1894
905,1978,1719
906,2252,1812
907,1774,1438
908,1684,1277
909,1699,1379
910,1566,1074
911,1974,1516
912,1887,1476
913,1841,1442
914,2020,1558
915,2095,1619
916,488,279
917,461,290
918,1794,1399
919,2082,1605
920,1846,1479
921,2005,1662
922,1972,1597
923,1741,1351
924,1758,1192
925,1748,1290
926,1684,1235
927,1631,1121
928,1722,1277
929,1618,1248
930,1594,1126
931,1427,1006
932,1563,1131
933,1388,1036
934,424,183
935,728,454
936,816,483
937,862,564
938,823,513
939,881,583
940,959,671
941,877,506
942,847,561
943,641,359
944,697,417
945,803,446
946,1269,782
947,1308,921
948,1397,946
949,1609,1189
950,1572,1192
951,1425,978
952,275,141
953,2172,1812
954,1796,1371
955,1962,1455
956,2206,1862
957,1985,1593
958,1827,1456
959,1754,1417
960,1203,798
961,695,432
962,1632,1247
963,1371,984
964,1346,968
965,1301,985
966,1423,1110
967,1152,836
968,1239,946
969,975,580
970,1013,637
971,1145,758
972,1196,811
973,1209,813
974,1042,698
975,1071,699
976,294,138
977,748,435
978,683,403
979,1009,612
980,857,494
981,350,126
982,1201,792
983,894,574
984,518,275
985,1013,666
986,1181,831
987,931,550
988,1061,742
989,383,205
990,1734,1345
991,2039,1687
992,2240,1938
993,2107,1781
994,2154,1751
995,574,358
996,959,627
997,1374,1051
998,1823,1491
999,559,337
1000,632,385
1001,789,498
1002,1189,873
1003,1128,820
1004,1051,722
1005,1173,817
1006,1181,824
1007,1063,637
1008,1058,681
1009,1022,649
1010,1150,795
1011,1076,700
1012,257,122
1013,1798,1427
1014,1930,1418
1015,1905,1461
1016,577,329
1017,523,305
1018,1800,1321
1019,1897,1417
1020,586,333
1021,570,314
1022,1374,1044
1023,1405,1092
1024,1410,1066
1025,1791,1429
1026,1516,1220
1027,329,186
1028,981,648
1029,735,472
1030,286,145
1031,1456,1102
1032,1648,1354
1033,1682,1308
1034,1741,1384
1035,325,170
1036,323,145
1037,942,614
1038,1441,1099
1039,1397,1023
1040,1262,874
1041,979,631
1042,1062,669
1043,1441,1081
1044,1833,1362
1045,972,626
1046,308,155
1047,353,178
1048,1537,1219
1049,1338,1083
1050,378,198
1051,409,223
1052,957,689
1053,1324,1049
1054,492,291
1055,770,426
1056,899,617
1057,901,573
1058,770,443
1059,781,454
1060,772,439
1061,819,518
1062,762,471
1063,829,488
1064,1127,771
1065,619,371
1066,979,592
1067,983,643
1068,1135,791
1069,1059,752
1070,1156,835
1071,1129,842
1072,1160,819
1073,361,181
1074,1918,1489
1075,1937,1545
1076,242,112
1077,302,153
1078,1616,1240
1079,1582,1161
1080,1444,1110
1081,939,583
1082,668,400
1083,1214,818
1084,1017,618
1085,933,620
1086,1204,883
1087,1008,600
1088,1206,803
1089,1337,941
1090,1280,850
1091,994,643
1092,1043,685
1093,1191,841
1094,1272,918
1095,1236,831
1096,1458,1087
1097,1154,771
1098,1080,671
1099,1318,938
1100,452,237
1101,1107,729
1102,526,307
1103,1219,830
1104,1250,859
1105,746,495
1106,811,476
1107,894,602
1108,1050,608
1109,960,611
1110,1223,881
1111,991,693
