stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
0,0,-47.57619396614597,9.61091775842072,20.107480569653095,0.06299489354188445,-0.2785245202275885,-0.059335164381749884,0.9565223851470643
0,0,-48.1367058289338,9.562691586116124,19.67911076682034,0.059725945317607144,-0.2865822881356275,-0.05584277433678846,0.9545601018988993
0,0,-48.64109896142443,9.873939442421992,19.293478377307622,0.06040337120995619,-0.2993512668254351,-0.04931009628895349,0.9509515057038679
0,0,-47.96849913370848,9.661666170872921,19.242985506411657,0.051311621447901,-0.3379722005878394,-0.03496430222388858,0.9391056419297018
0,0,-48.46531931694562,9.855052880515588,18.77847362705678,0.05526014346179923,-0.34884262663449017,-0.02549486670863512,0.9352032667601413
0,0,-48.80438744567929,10.221525492465911,18.277743531329197,0.07697847802973451,-0.354373722768655,-0.014937952052681867,0.9318103005010097
0,0,-48.14905301959658,10.284869105336298,18.53566673055596,0.0788878752845259,-0.38530143371740766,-0.0004676131859726608,0.9194124698122772
0,0,-48.54596983077343,10.260617128869152,17.950971180168718,0.0788305151987965,-0.3971370947980291,0.002994953689041859,0.914362569258647
0,0,-49.22046221664979,10.386196735772721,17.779828597142888,0.08236668831189482,-0.3840242658738592,-0.0001418107597609324,0.9196418171039652
0,0,-48.589078141010646,10.074812382347876,17.713541845287864,0.06929348882011344,-0.43233723245882294,0.02657704324411728,0.8986526529251349
0,0,-49.033206930493904,9.959569995867753,17.17551878750083,0.06856012452992244,-0.43339135514645716,0.02685535776894579,0.898192759026625
0,0,-49.53904308240985,9.885818526382563,16.6869591614943,0.06458490711998378,-0.4473418174300911,0.031187623286247163,0.8914827089205944
0,0,-50.07320094132512,10.042042965733426,16.250760461004994,0.07931322278298146,-0.42615714626863627,0.026629352011627194,0.9007721004712514
0,0,-49.45202775764837,9.778296719439211,16.461904472161795,0.07109760091431548,-0.4499838837213337,0.04037572290011368,0.8892859138295103
0,0,-49.722420735583725,10.074397961229781,15.87948564340251,0.0801966671446559,-0.4523600210711505,0.0455245187283893,0.8870549160621038
0,0,-50.291036393569954,10.184875620904267,15.47393549828389,0.08467822173736914,-0.44757556158755046,0.04730057735240384,0.8889703992907273
0,0,-50.18695716240616,10.798206649535132,15.13779183411787,0.12947785550703778,-0.46005038930555037,0.04069994851856601,0.8774580550793846
0,0,-49.913874231181886,10.42354616847102,14.603886190204296,0.11549324694779035,-0.48398350300333903,0.04705930292601607,0.8661447342899401
0,0,-50.31539966430706,10.296537285013923,14.035866762652189,0.10987864990722751,-0.49113482562658445,0.04725802283788816,0.8628325125009854
0,0,-50.39632440446929,9.621237385509257,13.842421079943412,0.07632803846195625,-0.4977297122624555,0.052108683703525616,0.8623942538992067
0,0,-50.724230372809714,9.644379838397363,13.216368284405325,0.07852449469054071,-0.49476240512027736,0.0540387274649159,0.8637846271769175
0,0,-51.364648169973314,9.70321535440525,12.922423685658886,0.07805137973434327,-0.47289938348278554,0.038477458528811,0.8768087821231779
0,0,-51.70218914395461,9.744617572752896,12.302462439128385,0.08027655984130792,-0.47441989135012214,0.041037205399117004,0.8756696799618072
0,0,-51.62980702049351,10.341717474488888,11.9306660761148,0.14742665151679193,-0.48305458810675495,0.0497658218104735,0.8616536486959757
0,0,-52.02839454041786,10.408506065250554,11.35043571401314,0.14848265178059228,-0.4851626868129952,0.05038935272189554,0.8602505347727878
0,0,-52.346713208310575,10.261350645701217,10.73641738515946,0.14115793347405164,-0.46415943415332206,0.041173151311258496,0.8734616357430378
0,0,-52.81835443091424,10.18183980017184,10.215617440282232,0.13475107042589324,-0.46742507275219125,0.03906257308564294,0.8728287723062373
0,0,-53.12244466072912,10.187569873850062,9.577263072875871,0.13528803177812562,-0.4748952592641386,0.04449758338224317,0.8684420569382783
0,0,-52.73090032980603,10.171087701947913,10.165838790121649,0.1298455562578804,-0.49518235613921385,0.055329233250139505,0.8572474798075815
0,0,-53.237158682736165,10.23639723784495,9.676515640649457,0.14321146712136207,-0.43960947512964776,0.026637354741360364,0.8862981644985877
0,0,-53.77486050477907,10.350227381373202,9.231634253090846,0.14764768959153018,-0.42789519373147333,0.027243651591906705,0.8912708041822793
0,0,-54.25540968471842,10.128788589271911,8.76255286674905,0.12937673834871535,-0.3916101727269264,0.01556199255858993,0.9108572646571148
0,0,-54.868488753873095,10.02624526168946,8.42547880822072,0.12564440767505705,-0.3891867276887345,0.015155234521190499,0.9124239654226135
0,0,-55.433949643060195,9.987071212569374,8.00272666254282,0.1165016779684911,-0.39539020002496417,0.012819354137165733,0.9110047271635042
0,0,-55.82292343038637,10.176049155779818,7.443274493226187,0.12425666397796355,-0.3932704281023629,0.012026541682030698,0.9109083456267277
0,0,-56.30330664112715,10.225177712540498,6.926729862290008,0.12111779781994962,-0.3996485884032994,0.01475978329817489,0.9085117685729156
0,0,-56.71993916480037,10.47835919983077,6.414561457645347,0.12994538055662636,-0.39245785058259247,0.016590742263656488,0.9103932012373698
